dataset,project,package,complextype,method,smell,severity,multiclass,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_method,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,modifier_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods,visibility_type
data-class,freemind-0.9.0,freemind.controller,StructuredMenuItemHolder,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.222222222,0,2,0,1,0,875,43,3615,65687,43,0,0,8,4,78,849,0,0,0,10,78,319,4778,1,375,5788,9,0,43,9,0.285714286,1,11,0.111111111,0,other,0,0,0,4,0,0,0,0,1,0,0,0,9,9,0,0,0,4,0,0,0,9,0,0,public
long-method,freemind-0.9.0,freemind.modes.browsemode,BrowseHookFactory,BrowseHookFactory(),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1111111111111100,1.1111111111111100,1.0,12.0,3.0,2.0,4.0,0.0,82.0,921.0,65687.0,82.0,3.0,0.0,0.0,0.0,16.0,849.0,0.0,0.0,0.0,0.0,78.0,79.0,4778.0,9.0,95.0,5788.0,9.0,0.0,43.0,20.0,0.0,10.0,10.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,public
long-method,freemind-0.9.0,freemind.modes.browsemode,BrowseHookFactory,getPossibleModeControllerHooks(),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111100,1.1111111111111100,1.0,12.0,3.0,2.0,4.0,0.0,82.0,921.0,65687.0,82.0,3.0,0.0,0.0,0.0,16.0,849.0,0.0,0.0,0.0,0.0,78.0,79.0,4778.0,9.0,95.0,5788.0,9.0,0.0,43.0,20.0,0.0,10.0,10.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,public
long-method,freemind-0.9.0,freemind.modes.browsemode,BrowseHookFactory,getPossibleNodeHooks(),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111100,1.1111111111111100,1.0,12.0,3.0,2.0,4.0,0.0,82.0,921.0,65687.0,82.0,3.0,0.0,0.0,0.0,16.0,849.0,0.0,0.0,0.0,0.0,78.0,79.0,4778.0,9.0,95.0,5788.0,9.0,0.0,43.0,20.0,0.0,10.0,10.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,public
god-class_dataclass,freemind-0.9.0,freemind.modes.browsemode,BrowseHookFactory,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.111111111,1.111111111,1,12,3,2,4,0,82,921,65687,82,3,0,0,0,16,849,0,0,0,0,78,79,4778,9,95,5788,9,0,43,20,0,10,10,1,0,other,0,0,0,0,0,0,0,0,1,0,0,0,9,9,0,0,0,0,0,0,0,9,8,0,public
feature-envy,freemind-0.9.0,freemind.modes.mindmapmode.actions,PasteAction,pasteStringWithoutRedisplay(TransferableMindMapNodebooleanboolean),0.0,0.0,0.0,4.0,2.0,1.0,1.0,2.0,6.0,107.0,22.0,0.0,26.0,0.0,32.0,0.6666666666666666,6.0,6.0,2.0,2.0,10.0,0.0,0.6,0.0,3.8823529411764700,3.7222222222222200,14.0,15.0,39.0,2.0,21.0,0.8897058823529411,647.0,5031.0,65687.0,660.0,15.0,0.0,1.0,8.0,74.0,849.0,7.0,0.0,1.0,7.0,78.0,419.0,4778.0,17.0,474.0,5788.0,18.0,0.0,43.0,67.0,0.7142857142857143,66.0,67.0,1.0,0.0,other,3.0,1.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,18.0,0.0,1.0,0.0,7.0,10.0,0.0,0.0,8.0,16.0,0.0,public
feature-envy,freemind-0.9.0,freemind.modes.mindmapmode.listeners,MindMapNodeDropListener,drop(DropTargetDropEvent),1.0,2.0,2.0,1.0,0.0,6.0,5.0,0.0,6.0,161.0,20.0,0.0,18.0,0.0,27.0,0.16666666666666666,8.0,17.0,1.0,1.0,22.0,0.0,0.36363636363636365,0.0,3.6666666666666600,3.6666666666666600,7.0,11.0,19.0,1.0,8.0,875,236.0,516.0,65687.0,236.0,0.0,0.0,0.0,1.0,4.0,849.0,0.0,0.0,1.0,0.0,78.0,28.0,4778.0,9.0,30.0,5788.0,9.0,0.0,43.0,35.0,0.0,33.0,33.0,1.0,0.0,other,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,8.0,0.0,public
long-method,galleon-2.3.0,org.lnicholls.galleon.apps.desktop,Desktop.DesktopScreen,update(),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,137.0,7.0,0.0,15.0,0.0,17.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.6666666666666666,0.0,3.0,3.0,0.0,5.0,5.0,6.0,3.0,0.75,233.0,467.0,120720.0,233.0,114.0,2.0,0.0,1.0,6.0,764.0,1.0,0.0,0.0,0.0,30.0,16.0,3256.0,5.0,20.0,4305.0,5.0,0.0,35.0,18.0,0.3333333333333333,15.0,15.0,1.0,0.0,other,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,public
long-method,galleon-2.3.0,org.lnicholls.galleon.apps.desktop,DesktopConfiguration,getName(),0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2857142857142800,0.0,0.0,0.0,1.0,0.0,0.7777777777777777,45.0,467.0,120720.0,79.0,0.0,1.0,4.0,3.0,6.0,764.0,0.0,0.0,1.0,0.0,30.0,16.0,3256.0,3.0,20.0,4305.0,7.0,0.0,35.0,7.0,0.23809523809523808,3.0,9.0,0.42857142857142855,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,0.0,public
long-method,galleon-2.3.0,org.lnicholls.galleon.apps.desktop,DesktopConfiguration,setModified(boolean),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2857142857142800,0.0,0.0,0.0,1.0,0.0,0.7777777777777777,45.0,467.0,120720.0,79.0,0.0,1.0,4.0,3.0,6.0,764.0,0.0,0.0,1.0,0.0,30.0,16.0,3256.0,3.0,20.0,4305.0,7.0,0.0,35.0,7.0,0.23809523809523808,3.0,9.0,0.42857142857142855,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,0.0,public
long-method,galleon-2.3.0,org.lnicholls.galleon.apps.desktop,DesktopConfiguration,setName(String),0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2857142857142800,0.0,0.0,0.0,1.0,0.0,0.7777777777777777,45.0,467.0,120720.0,79.0,0.0,1.0,4.0,3.0,6.0,764.0,0.0,0.0,1.0,0.0,30.0,16.0,3256.0,3.0,20.0,4305.0,7.0,0.0,35.0,7.0,0.23809523809523808,3.0,9.0,0.42857142857142855,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,0.0,public
data-class,galleon-2.3.0,org.lnicholls.galleon.apps.desktop,DesktopConfiguration,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.285714286,0,0,0,1,0,0.777777778,45,467,120720,79,0,1,4,3,6,764,0,0,1,0,30,16,3256,3,20,4305,7,0,35,7,0.238095238,3,9,0.428571429,0,other,0,0,0,3,0,0,0,0,0,0,0,0,7,7,0,0,0,3,0,0,0,7,3,0,public
data-class,galleon-2.3.0,org.lnicholls.galleon.apps.email,Email.EmailItem,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,35,1875,120720,63,0,0,4,4,14,764,0,0,0,0,30,40,3256,1,65,4305,5,0,35,5,0,1,5,0.2,1,other,0,0,0,4,0,0,0,0,1,0,0,0,5,5,0,0,0,4,0,0,0,5,0,0,private
feature-long,galleon-2.3.0,org.lnicholls.galleon.apps.email,org.lnicholls.galleon.apps.email.Email$3,run(),1.0,2.0,5.0,0.0,0.0,10.0,3.0,0.0,8.0,235.0,25.0,0.0,24.0,0.0,32.0,0.0,4.0,4.0,0.0,0.0,12.0,0.0,0.3333333333333333,0.0,25.0,25.0,10.0,6.0,4.0,2.0,4.0,0.0,239.0,1875.0,120720.0,239.0,44.0,1.0,0.0,0.0,14.0,764.0,0.0,0.0,0.0,0.0,30.0,40.0,3256.0,1.0,65.0,4305.0,1.0,0.0,35.0,13.0,1.0,25.0,25.0,0.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,package
long-method,galleon-2.3.0,org.lnicholls.galleon.apps.internetSlideshows,InternetSlideshows,getPhotoDescriptions(String),1.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,9.0,177.0,21.0,0.0,19.0,0.0,20.0,0.0,4.0,9.0,0.0,0.0,9.0,0.0,0.4444444444444444,1.0,12.5,12.5,2.0,23.0,18.0,7.0,12.0,1.0,1405.0,2029.0,120720.0,1405.0,158.0,1.0,0.0,9.0,12.0,764.0,6.0,0.0,0.0,0.0,30.0,39.0,3256.0,2.0,54.0,4305.0,2.0,1.0,35.0,90.0,0.0,25.0,25.0,0.6666666666666666,0.0,other,2.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,1.0,public
god-class,galleon-2.3.0,org.lnicholls.galleon.apps.podcasting,Podcasting,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23125,23125,34,25,25,7,11,1,5349,6405,120720,5349,158,1,0,9,41,764,11,0,0,0,30,113,3256,8,121,4305,8,1,35,134,0,185,185,0.8,0,other,1,0,1,7,2,1,0,0,0,0,0,0,8,3,5,0,0,8,4,0,0,4,8,5,public
long-method,galleon-2.3.0,org.lnicholls.galleon.apps.traffic,Traffic,getTrafficResults(StringStringStringStringString),1.0,2.0,5.0,5.0,1.0,0.0,0.0,1.0,7.0,193.0,21.0,0.0,26.0,0.0,27.0,1.0,4.0,10.0,1.0,0.0,10.0,0.0,0.4,1.0,12.0,12.0,3.0,23.0,15.0,7.0,10.0,1.0,1280.0,1908.0,120720.0,1280.0,158.0,1.0,0.0,9.0,12.0,764.0,5.0,0.0,0.0,0.0,30.0,40.0,3256.0,2.0,62.0,4305.0,2.0,1.0,35.0,91.0,0.0,24.0,24.0,0.6666666666666666,0.0,other,2.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,1.0,public
data-class,galleon-2.3.0,org.lnicholls.galleon.apps.traffic,Traffic.Result,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,49,1908,120720,91,0,0,6,6,12,764,0,0,0,0,30,40,3256,1,62,4305,7,0,35,7,0,1,7,0.142857143,1,other,0,0,0,6,0,0,0,0,1,0,0,0,7,7,0,0,0,6,0,0,0,7,0,0,package
data-class,galleon-2.3.0,org.lnicholls.galleon.apps.traffic,TrafficConfiguration.Location,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0.909090909,55,1908,120720,125,0,0,10,5,12,764,0,0,1,0,30,40,3256,2,62,4305,12,0,35,12,0.111111111,2,12,0.166666667,1,other,0,0,0,5,0,0,0,0,2,0,0,0,12,12,0,0,0,5,0,0,0,12,0,0,public
data-class,galleon-2.3.0,org.lnicholls.galleon.apps.upcoming,UpcomingConfiguration.Location,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0.857142857,39,2505,120720,81,0,0,6,3,20,764,0,0,1,0,30,63,3256,2,75,4305,8,0,35,8,0.2,2,8,0.25,1,other,0,0,0,3,0,0,0,0,2,0,0,0,8,8,0,0,0,3,0,0,0,8,0,0,public
god-class,galleon-2.3.0,org.lnicholls.galleon.apps.videocasting,Videocasting,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.85714286,25.85714286,34,25,23,7,9,1,5126,6189,120720,5126,158,1,0,9,33,764,11,0,0,0,30,103,3256,7,111,4305,7,1,35,134,0,181,181,0.8,0,other,1,0,1,7,2,1,0,0,0,0,0,0,7,3,4,0,0,8,3,0,0,4,7,4,public
data-class,galleon-2.3.0,org.lnicholls.galleon.apps.weather,WeatherData.Alert,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0.9,47,5472,120720,117,0,0,10,5,29,764,0,0,1,0,30,75,3256,1,224,4305,11,0,35,11,0.111111111,1,11,0.090909091,1,other,0,0,0,5,0,0,0,0,1,0,0,0,11,11,0,0,0,5,0,0,0,11,0,0,public
long-method,galleon-2.3.0,org.lnicholls.galleon.database,PersistentValueManager,savePersistentValue(StringStringDateint),1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,120.0,12.0,0.0,14.0,0.0,15.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,0.6666666666666666,1.0,4.0625,4.0625,2.0,3.0,11.0,1.0,4.0,0.9333333333333333,625.0,12350.0,120720.0,625.0,0.0,0.0,0.0,1.0,35.0,764.0,1.0,0.0,0.0,14.0,30.0,591.0,3256.0,16.0,880.0,4305.0,16.0,0.0,35.0,29.0,0.05714285714285714,65.0,65.0,1.0,0.0,other,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,16.0,16.0,public
god-class,galleon-2.3.0,org.lnicholls.galleon.goback,VideoServer,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.11111111,24.11111111,28,16,61,2,13,0.928571429,2412,3195,120720,2412,8,0,0,7,10,764,1,0,0,0,30,52,3256,9,67,4305,9,0,35,85,0.333333333,217,217,1,0,other,0,0,0,6,1,1,0,0,1,0,0,0,9,9,0,0,1,7,4,0,1,3,8,0,public
god-class,galleon-2.3.0,org.lnicholls.galleon.server,Server,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.628571429,3.107526882,27,38,71,1,35,0.961791831,1324,4016,120720,1494,0,0,23,33,17,764,7,0,0,2,30,203,3256,70,326,4305,93,0,35,202,0.347338936,254,289,0.744186047,0,other,0,0,0,25,8,8,0,0,1,0,0,0,93,87,6,0,0,33,7,0,0,86,69,6,public
feature-long,galleon-2.3.0,org.lnicholls.galleon.server,TiVoListener,resolveService(JmDNSStringStringServiceInfo),1.0,2.0,5.0,4.0,0.0,9.0,2.0,0.0,7.0,177.0,20.0,1.0,13.0,1.0,35.0,0.42857142857142855,2.0,5.0,6.0,0.0,20.0,1.0,0.1,0.0,5.5,5.5,9.0,4.0,6.0,1.0,4.0,0.95,305.0,4016.0,120720.0,305.0,0.0,0.0,0.0,8.0,17.0,764.0,0.0,0.0,2.0,2.0,30.0,203.0,3256.0,6.0,326.0,4305.0,6.0,0.0,35.0,29.0,0.6,33.0,33.0,1.0,0.0,other,6.0,0.0,6.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,5.0,0.0,public
god-class,galleon-2.3.0,org.lnicholls.galleon.util,IMDB,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.85714286,23.85714286,17,2,14,1,2,0.833333333,1217,7639,120720,1217,0,0,0,1,52,764,0,0,0,3,30,239,3256,7,261,4305,7,0,35,38,0.3,167,167,1,0,other,1,0,1,0,1,0,0,0,0,0,0,0,7,0,7,0,0,1,2,0,0,5,7,7,public
data-class,galleon-2.3.0,org.lnicholls.galleon.util,SharedNameValue,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,2,1,1,18,7639,120720,48,5,0,6,6,52,764,0,2,1,3,30,239,3256,2,261,4305,8,3,35,14,0.2,2,8,0.181818182,0,other,3,0,3,3,3,0,0,0,2,0,0,0,8,8,0,0,0,3,0,0,0,8,0,0,public
feature-envy,galleon-2.3.0,org.lnicholls.galleon.widget,DefaultApplication,init(IContext),1.0,2.0,2.0,1.0,22.0,10.0,4.0,22.0,4.0,77.0,7.0,3.0,7.0,2.0,22.0,0.09090909090909091,7.0,8.0,1.0,0.0,18.0,2.0,0.3888888888888889,0.0,4.142857142857140,3.4,15.0,22.0,46.0,6.0,25.0,0.9729064039408868,2297.0,7792.0,120720.0,2396.0,129.0,0.0,9.0,14.0,29.0,764.0,6.0,22.0,0.0,2.0,30.0,163.0,3256.0,21.0,230.0,4305.0,30.0,2.0,35.0,93.0,0.07389162561576355,87.0,102.0,0.6071428571428571,0.0,other,1.0,0.0,1.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,5.0,0.0,0.0,12.0,1.0,0.0,3.0,26.0,21.0,5.0,public
god-class,galleon-2.3.0,org.lnicholls.galleon.widget,DefaultApplication,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142857143,3.4,15,22,46,6,25,0.972906404,2297,7792,120720,2396,129,0,9,14,29,764,6,22,0,2,30,163,3256,21,230,4305,30,2,35,93,0.073891626,87,102,0.607142857,0,other,1,0,1,10,4,3,0,0,0,0,0,0,30,25,5,0,0,12,1,0,3,26,21,5,public
data-class,galleon-2.3.0,org.lnicholls.galleon.widget,DefaultApplication.ApplicationEvent,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,1,53,7792,120720,101,0,0,6,6,29,764,0,0,0,2,30,163,3256,1,230,4305,7,0,35,7,0,1,7,0.142857143,1,other,0,0,0,6,0,0,0,0,1,0,0,0,7,7,0,0,0,6,0,0,0,7,0,0,public
feature-envy,ganttproject-2.0.9,net.sourceforge.ganttproject,GanttOptions.GanttXMLOptionsParser,startElement(StringStringStringAttributes),1.0,3.0,3.0,4.0,0.0,52.0,3.0,0.0,6.0,333.0,144.0,0.0,16.0,0.0,78.0,0.0,7.0,7.0,0.0,0.0,14.0,0.0,0.5,0.0,144.0,144.0,52.0,8.0,7.0,2.0,7.0,0.0,337.0,15781.0,58718.0,337.0,17.0,0.0,0.0,0.0,210.0,959.0,0.0,0.0,0.0,11.0,115.0,1099.0,4398.0,1.0,1393.0,5518.0,1.0,0.0,54.0,15.0,1.0,144.0,144.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,package
data-class,ganttproject-2.0.9,net.sourceforge.ganttproject.action.project,ProjectMenu,,1.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,10,8,1,8,1,7,266,58718,47,0,0,8,9,9,959,0,0,0,0,115,39,4398,1,47,5518,9,0,54,17,0,1,9,0.111111111,0,other,0,0,0,9,0,0,0,0,1,0,0,0,9,9,0,0,0,9,0,0,0,9,0,0,public
god-class,ganttproject-2.0.9,net.sourceforge.ganttproject.chart,TaskRendererImpl,,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.822222222,28,35,78,2,32,0.957167832,1029,6097,58718,1134,8,1,5,26,92,959,4,0,1,12,115,431,4398,40,576,5518,45,4,54,155,0.161904762,150,172,0.6,0,other,5,0,5,20,6,1,0,0,1,1,1,0,44,44,0,0,0,22,29,0,0,16,39,0,public
long-method,ganttproject-2.0.9,net.sourceforge.ganttproject.filter,ExtensionBasedFileFilter,accept(File),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.8,0.0,0.0,0.0,2.0,0.0,1.0,34.0,264.0,58718.0,39.0,2.0,0.0,1.0,2.0,11.0,959.0,0.0,2.0,0.0,0.0,115.0,24.0,4398.0,4.0,25.0,5518.0,5.0,0.0,54.0,5.0,0.0,8.0,9.0,0.6666666666666666,0.0,other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,public
long-method,ganttproject-2.0.9,net.sourceforge.ganttproject.filter,ExtensionBasedFileFilter,ExtensionBasedFileFilter(StringString),0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8,0.0,0.0,0.0,2.0,0.0,1.0,34.0,264.0,58718.0,39.0,2.0,0.0,1.0,2.0,11.0,959.0,0.0,2.0,0.0,0.0,115.0,24.0,4398.0,4.0,25.0,5518.0,5.0,0.0,54.0,5.0,0.0,8.0,9.0,0.6666666666666666,0.0,other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,public
long-method,ganttproject-2.0.9,net.sourceforge.ganttproject.filter,GanttXMLFileFilter,GanttXMLFileFilter(),0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,264.0,58718.0,5.0,6.0,0.0,0.0,0.0,11.0,959.0,0.0,0.0,0.0,0.0,115.0,24.0,4398.0,1.0,25.0,5518.0,1.0,0.0,54.0,6.0,1.0,1.0,1.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,public
data-class,ganttproject-2.0.9,net.sourceforge.ganttproject.gui,GanttDialogInfo,,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,0,2,7,6,5,0,117,5423,58718,117,536,0,0,11,114,959,3,0,0,8,115,326,4398,1,440,5518,1,11,54,8,1,8,8,0.083333333,0,other,7,0,7,1,10,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,public
